index,product_name,amount,revenue
183,Green Ice Tea       ,2146,7722.85
184,Glas Merlot         ,179,733.9
185,Glas Wit Zoet       ,119,487.9
186,Jus                 ,460,1608.9
187,Ap. Pe. Fram.       ,92,322
188,Appelsap            ,267,934.5
189,Borrel box          ,463,4162.95
190,Borrel box vega     ,9,81
191,Breekbrood          ,216,1188
192,Nacho's klein       ,475.5,3798
193,Nacho's klein vega  ,120,958.8
194,Kaas en worst       ,140,840
195,Oude Kaas           ,16,96
196,Warm Plukbrood      ,442,2647.95
197,Garnalenkroketjes   ,69,655.5
198,Bitterballen        ,398,3383
199,Twente              ,417,3541.9
200,Kiphaasjes          ,103,874.2
201,Kaasloempiaatjes    ,176.5,1493.1
202,Falafel & Hummus    ,28,210
203,Geroosterde groenten,61,274.5
204,Frites              ,708,3183.9
205,Frisse salade       ,45,202.5
206,Cafe steak          ,347,7113.5
207,Nacho's groot       ,48,672
208,Varkenssate         ,417,7708.1
209,Nacho's groot VEGA  ,14,196
210,Soep Sam Sam        ,14,70
211,Eendenborst         ,80,1717.85
212,Gele curry vegan    ,105,1680
213,Sticky Lemon Chicken,280,5040
214,Zalmfilet           ,118,2537
215,Gravad Lax Voor     ,26,299
216,Gyoza               ,95,707.9
217,Carpaccio voor      ,129,1483.5
218,Salade Krokante kip ,349,5178.5
219,Loaded fries Rendang,343,7374.5
220,Tosti kaas          ,144,648
221,Tosti ham kaas      ,471,2113.25
222,Tosti ham kaas anana,116,521.3
223,Club Sandwich       ,492,4913
224,Broodje Gravad Lax  ,295,2802.5
225,Twentse Ham         ,66,627
226,Broodje Carpaccio   ,306,3519
227,Pistolet Kaas       ,14,63
228,Waldkorn kaas       ,21,94.5
229,Pistolet Ham        ,1,4.5
230,Waldkorn Ham        ,4,18
231,Pistolet Filet Ameri,36,216
232,Waldkorn Filet Ameri,47,282
233,Pistolet tonijnsalad,9,54
234,Waldkorn Tonijnsalad,47,282
235,Sweetbox            ,8,120
236,Sam Sam Koffie      ,50,300
237,Uitsmijter          ,270,2565
238,Een kroket+brood    ,116,637.15
239,Twee kroket+brood   ,285,2419.95
240,Tuna melt           ,255,2415.3
241,Broodje kaas        ,5,22.5
242,Broodje beenham     ,18,81
243,Br Tonijnsalade AVE ,17,102
244,Sam Sammertje       ,27,121.5
245,Appeltaart          ,350,1575
246,Cheesecake rood frui,207,931.5
247,Cheesecake caramel  ,21,93.8
248,Worteltaart         ,97,436.5
249,Brownie             ,21,84
250,Brownie             ,166,745.6
251,Arretjescake        ,214,963
252,Red Velvet Cake     ,107,480.1
253,Vegan Banana cake   ,67,301.5
254,Dadeltaart          ,41,184.5
255,Walking dinner desse,3,25.5
